Time,Phase Time (s),Density Lane 1,Vol/h Lane 1,Density Lane 2,Vol/h Lane 2,Density Lane 3,Vol/h Lane 3,Density Lane 4,Vol/h Lane 4,Average DS (%),,Total density (veh/m/lane),Total flow (veh/hr)
01:07,72,0.020997375,200,0.030183727,300,0.007874016,100,0,0,18,,0.059055118,600
01:08,84,0.007874016,85.71428571,0.009186352,85.71428571,0.011811024,128.5714286,0,0,14,,0.028871391,300
01:10,84,0.00656168,85.71428571,0.011811024,128.5714286,0.011811024,171.4285714,0,0,12,,0.030183727,385.7142857
01:11,84,0.011811024,128.5714286,0.017060367,171.4285714,0.00656168,85.71428571,0,0,11,,0.035433071,385.7142857
01:13,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,9,,0.014435696,171.4285714
01:14,84,0,0,0.015748031,171.4285714,0.010498688,128.5714286,0,0,10,,0.026246719,300
01:16,84,0.00656168,85.71428571,0.014435696,171.4285714,0.009186352,128.5714286,0,0,10,,0.030183727,385.7142857
01:17,84,0,0,0.007874016,85.71428571,0.011811024,171.4285714,0,0,10,,0.019685039,257.1428571
01:18,84,0.010498688,128.5714286,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.028871391,342.8571429
01:20,84,0.011811024,128.5714286,0.017060367,171.4285714,0.00656168,85.71428571,0,0,11,,0.035433071,385.7142857
01:21,84,0.009186352,128.5714286,0.015748031,171.4285714,0.00656168,85.71428571,0,0,12,,0.031496063,385.7142857
01:23,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,11,,0.024934383,300
01:24,84,0.010498688,128.5714286,0.011811024,128.5714286,0.00656168,85.71428571,0,0,10,,0.028871391,342.8571429
01:26,95,0.014435696,151.5789474,0.018372703,189.4736842,0.009186352,113.6842105,0,0,11,,0.041994751,454.7368421
01:27,70,0,0,0,0,0.007874016,102.8571429,0,0,9,,0.007874016,102.8571429
01:29,93,0,0,0.011811024,116.1290323,0.010498688,116.1290323,0,0,9,,0.022309711,232.2580645
01:30,84,0.010498688,128.5714286,0.019685039,214.2857143,0.00656168,85.71428571,0,0,11,,0.036745407,428.5714286
01:31,77,0,0,0,0,0,0,0,0,7,,0,0
01:33,101,0,0,0,0,0,0,0,0,3,,0,0
01:34,76,0,0,0.022309711,236.8421053,0.017060367,236.8421053,0,0,8,,0.039370079,473.6842105
01:36,84,0.010498688,128.5714286,0.014435696,171.4285714,0.009186352,128.5714286,0,0,11,,0.034120735,428.5714286
01:37,84,0.005249344,85.71428571,0.00656168,85.71428571,0,0,0,0,10,,0.011811024,171.4285714
01:38,84,0,0,0,0,0.007874016,85.71428571,0,0,7,,0.007874016,85.71428571
01:40,84,0.014435696,171.4285714,0.019685039,214.2857143,0.00656168,85.71428571,0,0,10,,0.040682415,471.4285714
01:41,84,0,0,0,0,0.00656168,85.71428571,0,0,9,,0.00656168,85.71428571
01:43,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.024934383,300
01:44,84,0.00656168,85.71428571,0.011811024,128.5714286,0.009186352,128.5714286,0,0,8,,0.027559055,342.8571429
01:46,84,0,0,0.007874016,85.71428571,0.005249344,85.71428571,0,0,8,,0.01312336,171.4285714
01:47,84,0.00656168,85.71428571,0.007874016,85.71428571,0.009186352,128.5714286,0.00656168,85.71428571,7,,0.030183727,385.7142857
01:48,84,0.007874016,85.71428571,0.019685039,214.2857143,0.01312336,171.4285714,0,0,10,,0.040682415,471.4285714
01:50,84,0,0,0.00656168,85.71428571,0.00656168,85.71428571,0,0,9,,0.01312336,171.4285714
01:51,84,0.00656168,85.71428571,0,0,0,0,0,0,7,,0.00656168,85.71428571
01:53,84,0,0,0,0,0.009186352,128.5714286,0,0,6,,0.009186352,128.5714286
01:54,84,0.00656168,85.71428571,0.009186352,85.71428571,0,0,0,0,7,,0.015748031,171.4285714
01:56,84,0,0,0.007874016,85.71428571,0.005249344,85.71428571,0,0,7,,0.01312336,171.4285714
01:57,84,0.00656168,85.71428571,0.007874016,85.71428571,0.00656168,85.71428571,0,0,6,,0.020997375,257.1428571
01:58,84,0.007874016,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,7,,0.026246719,300
02:00,84,0.00656168,85.71428571,0.015748031,171.4285714,0.009186352,128.5714286,0,0,10,,0.031496063,385.7142857
02:01,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,9,,0.014435696,171.4285714
02:03,84,0.00656168,85.71428571,0.015748031,171.4285714,0.01312336,171.4285714,0,0,10,,0.035433071,428.5714286
02:04,84,0.015748031,171.4285714,0.023622047,257.1428571,0.007874016,85.71428571,0,0,13,,0.047244094,514.2857143
02:05,84,0.01312336,171.4285714,0.019685039,214.2857143,0.010498688,128.5714286,0,0,15,,0.043307087,514.2857143
02:07,84,0,0,0.011811024,128.5714286,0.009186352,128.5714286,0,0,13,,0.020997375,257.1428571
02:08,84,0.014435696,171.4285714,0.017060367,171.4285714,0.00656168,85.71428571,0,0,12,,0.038057743,428.5714286
02:10,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,9,,0.014435696,171.4285714
02:11,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,8,,0.014435696,171.4285714
02:13,84,0,0,0.011811024,128.5714286,0.010498688,128.5714286,0,0,7,,0.022309711,257.1428571
02:14,84,0,0,0.007874016,85.71428571,0.009186352,128.5714286,0,0,7,,0.017060367,214.2857143
02:15,84,0.009186352,128.5714286,0.011811024,128.5714286,0,0,0,0,8,,0.020997375,257.1428571
02:17,84,0,0,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.018372703,214.2857143
02:18,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,8,,0.014435696,171.4285714
02:20,84,0,0,0.011811024,128.5714286,0.009186352,128.5714286,0,0,8,,0.020997375,257.1428571
02:21,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,8,,0.024934383,300
02:23,84,0.007874016,85.71428571,0.023622047,257.1428571,0.017060367,214.2857143,0,0,13,,0.04855643,557.1428571
02:24,84,0.010498688,128.5714286,0.010498688,128.5714286,0,0,0,0,12,,0.020997375,257.1428571
02:25,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,11,,0.024934383,300
02:27,84,0,0,0,0,0,0,0,0,5,,0,0
02:28,84,0.01312336,171.4285714,0.019685039,214.2857143,0.010498688,128.5714286,0,0,9,,0.043307087,514.2857143
02:30,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.024934383,300
02:31,84,0.01312336,171.4285714,0.019685039,214.2857143,0.00656168,85.71428571,0,0,13,,0.039370079,471.4285714
02:32,84,0,0,0,0,0,0,0,0,7,,0,0
02:34,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,6,,0.014435696,171.4285714
02:35,84,0,0,0,0,0,0,0,0,2,,0,0
02:37,84,0.010498688,128.5714286,0.018372703,214.2857143,0.009186352,128.5714286,0,0,8,,0.038057743,471.4285714
02:38,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,7,,0.014435696,171.4285714
02:40,84,0,0,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.018372703,214.2857143
